"","id","city"
"1","110000","北京市"
"2","110101","东城区"
"3","110102","西城区"
"4","110103","崇文区"
"5","110104","宣武区"
"6","110105","朝阳区"
"7","110106","丰台区"
"8","110107","石景山区"
"9","110108","海淀区"
"10","110109","门头沟区"
"11","110111","房山区"
"12","110221","昌平县"
"13","110222","顺义县"
"14","110223","通县"
"15","110224","大兴县"
"16","110226","平谷县"
"17","110227","怀柔县"
"18","110228","密云县"
"19","110229","延庆县"
"20","120000","天津市"
"21","120101","和平区"
"22","120102","河东区"
"23","120103","河西区"
"24","120104","南开区"
"25","120105","河北区"
"26","120106","红桥区"
"27","120107","塘沽区"
"28","120108","汉沽区"
"29","120109","大港区"
"30","120110","东丽区"
"31","120111","西青区"
"32","120112","津南区"
"33","120113","北辰区"
"34","120221","宁河县"
"35","120222","武清县"
"36","120223","静海县"
"37","120224","宝坻县"
"38","120225","蓟县"
"39","130000","河北省"
"40","130100","石家庄市"
"41","130102","长安区"
"42","130103","桥东区"
"43","130104","桥西区"
"44","130105","新华区"
"45","130106","郊区"
"46","130107","井陉矿区"
"47","130121","井陉县"
"48","130122","获鹿县"
"49","130123","正定县"
"50","130124","栾城县"
"51","130125","行唐县"
"52","130126","灵寿县"
"53","130127","高邑县"
"54","130128","深泽县"
"55","130129","赞皇县"
"56","130130","无极县"
"57","130131","平山县"
"58","130132","元氏县"
"59","130133","赵县"
"60","130200","唐山市"
"61","130202","路南区"
"62","130203","路北区"
"63","130204","东矿区"
"64","130205","开平区"
"65","130206","新区"
"66","130221","丰润县"
"67","130222","丰南县"
"68","130223","滦县"
"69","130224","滦南县"
"70","130225","乐亭县"
"71","130226","迁安县"
"72","130227","迁西县"
"73","130229","玉田县"
"74","130230","唐海县"
"75","130300","秦皇岛市"
"76","130302","海港区"
"77","130303","山海关区"
"78","130304","北戴河区"
"79","130321","青龙满族自治县"
"80","130322","昌黎县"
"81","130323","抚宁县"
"82","130324","卢龙县"
"83","130400","邯郸市"
"84","130402","邯山区"
"85","130403","丛台区"
"86","130404","复兴区"
"87","130406","峰峰矿区"
"88","130421","邯郸县"
"89","130423","临漳县"
"90","130424","成安县"
"91","130425","大名县"
"92","130426","涉县"
"93","130427","磁县"
"94","130428","肥乡县"
"95","130429","永年县"
"96","130430","丘县"
"97","130431","鸡泽县"
"98","130432","广平县"
"99","130433","馆陶县"
"100","130434","魏县"
"101","130435","曲周县"
"102","130500","邢台市"
"103","130502","桥东区"
"104","130503","桥西区"
"105","130521","邢台县"
"106","130522","临城县"
"107","130523","内丘县"
"108","130524","柏乡县"
"109","130525","隆尧县"
"110","130526","任县"
"111","130527","南和县"
"112","130528","宁晋县"
"113","130529","巨鹿县"
"114","130530","新河县"
"115","130531","广宗县"
"116","130532","平乡县"
"117","130533","威县"
"118","130534","清河县"
"119","130535","临西县"
"120","130600","保定市"
"121","130602","新市区"
"122","130603","北市区"
"123","130604","南市区"
"124","130621","满城县"
