"","id","city"
"269","140521","沁水县"
"270","140522","阳城县"
"271","140523","高平县"
"272","140524","陵川县"
"273","140600","朔州市"
"274","140602","朔城区"
"275","140603","平鲁区"
"276","140621","山阴县"
"277","142100","雁北地区"
"278","142121","阳高县"
"279","142122","天镇县"
"280","142123","广灵县"
"281","142124","灵丘县"
"282","142125","浑源县"
"283","142126","应县"
"284","142130","左云县"
"285","142131","右玉县"
"286","142132","大同县"
"287","142133","怀仁县"
"288","142200","忻州地区"
"289","142201","忻州市"
"290","142222","定襄县"
"291","142223","五台县"
"292","142224","原平县"
"293","142225","代县"
"294","142226","繁峙县"
"295","142227","宁武县"
"296","142228","静乐县"
"297","142229","神池县"
"298","142230","五寨县"
"299","142231","岢岚县"
"300","142232","河曲县"
"301","142233","保德县"
"302","142234","偏关县"
"303","142300","吕梁地区"
"304","142301","孝义市"
"305","142321","汾阳县"
"306","142322","文水县"
"307","142323","交城县"
"308","142325","兴县"
"309","142326","临县"
"310","142327","柳林县"
"311","142328","石楼县"
"312","142329","岚县"
"313","142330","方山县"
"314","142331","离石县"
"315","142332","中阳县"
"316","142333","交口县"
"317","142400","晋中地区"
"318","142401","榆次市"
"319","142402","介休市"
"320","142421","榆社县"
"321","142422","左权县"
"322","142423","和顺县"
"323","142424","昔阳县"
"324","142427","寿阳县"
"325","142429","太谷县"
"326","142430","祁县"
"327","142431","平遥县"
"328","142433","灵石县"
"329","142600","临汾地区"
"330","142601","临汾市"
"331","142602","侯马市"
"332","142603","霍州市"
"333","142621","曲沃县"
"334","142622","翼城县"
"335","142623","襄汾县"
"336","142625","洪洞县"
"337","142627","古县"
"338","142628","安泽县"
"339","142629","浮山县"
"340","142630","吉县"
"341","142631","乡宁县"
"342","142632","蒲县"
"343","142633","大宁县"
"344","142634","永和县"
"345","142635","隰县"
"346","142636","汾西县"
"347","142700","运城地区"
"348","142701","运城市"
"349","142722","永济县"
"350","142723","芮城县"
"351","142724","临猗县"
"352","142725","万荣县"
"353","142726","新绛县"
"354","142727","稷山县"
"355","142728","河津县"
"356","142729","闻喜县"
"357","142730","夏县"
"358","142731","绛县"
"359","142732","平陆县"
"360","142733","垣曲县"
"361","149001","古交市"
"362","150000","内蒙古自治区"
"363","150100","呼和浩特市"
"364","150102","新城区"
"365","150103","回民区"
"366","150104","玉泉区"
"367","150105","郊区"
"368","150121","土默特左旗"
"369","150122","托克托县"
"370","150200","包头市"
"371","150202","东河区"
"372","150203","昆都仑区"
"373","150204","青山区"
"374","150205","石拐矿区"
"375","150206","白云矿区"
"376","150207","郊区"
"377","150221","土默特右旗"
"378","150222","固阳县"
"379","150300","乌海市"
"380","150302","海勃湾区"
"381","150303","海南区"
"382","150304","乌达区"
"383","150400","赤峰市"
"384","150402","红山区"
"385","150403","元宝山区"
"386","150404","郊区"
"387","150421","阿鲁科尔沁旗"
"388","150422","巴林左旗"
"389","150423","巴林右旗"
