"","id","city"
"1","110000","北京市"
"2","110101","东城区"
"3","110102","西城区"
"4","110103","崇文区"
"5","110104","宣武区"
"6","110105","朝阳区"
"7","110106","丰台区"
"8","110107","石景山区"
"9","110108","海淀区"
"10","110109","门头沟区"
"11","110111","房山区"
"12","110112","通州区"
"13","110113","顺义区"
"14","110221","昌平县"
"15","110224","大兴县"
"16","110226","平谷县"
"17","110227","怀柔县"
"18","110228","密云县"
"19","110229","延庆县"
"20","120000","天津市"
"21","120101","和平区"
"22","120102","河东区"
"23","120103","河西区"
"24","120104","南开区"
"25","120105","河北区"
"26","120106","红桥区"
"27","120107","塘沽区"
"28","120108","汉沽区"
"29","120109","大港区"
"30","120110","东丽区"
"31","120111","西青区"
"32","120112","津南区"
"33","120113","北辰区"
"34","120221","宁河县"
"35","120222","武清县"
"36","120223","静海县"
"37","120224","宝坻县"
"38","120225","蓟县"
"39","130000","河北省"
"40","130100","石家庄市"
"41","130102","长安区"
"42","130103","桥东区"
"43","130104","桥西区"
"44","130105","新华区"
"45","130106","郊区"
"46","130107","井陉矿区"
"47","130121","井陉县"
"48","130123","正定县"
"49","130124","栾城县"
"50","130125","行唐县"
"51","130126","灵寿县"
"52","130127","高邑县"
"53","130128","深泽县"
"54","130129","赞皇县"
"55","130130","无极县"
"56","130131","平山县"
"57","130132","元氏县"
"58","130133","赵县"
"59","130181","辛集市"
"60","130182","藁城市"
"61","130183","晋州市"
"62","130184","新乐市"
"63","130185","鹿泉市"
"64","130200","唐山市"
"65","130202","路南区"
"66","130203","路北区"
"67","130204","古冶区"
"68","130205","开平区"
"69","130206","新区"
"70","130221","丰润县"
"71","130223","滦县"
"72","130224","滦南县"
"73","130225","乐亭县"
"74","130227","迁西县"
"75","130229","玉田县"
"76","130230","唐海县"
"77","130281","遵化市"
"78","130282","丰南市"
"79","130283","迁安市"
"80","130300","秦皇岛市"
"81","130302","海港区"
"82","130303","山海关区"
"83","130304","北戴河区"
"84","130321","青龙满族自治县"
"85","130322","昌黎县"
"86","130323","抚宁县"
"87","130324","卢龙县"
"88","130400","邯郸市"
"89","130402","邯山区"
"90","130403","丛台区"
"91","130404","复兴区"
"92","130406","峰峰矿区"
"93","130421","邯郸县"
"94","130423","临漳县"
"95","130424","成安县"
"96","130425","大名县"
"97","130426","涉县"
"98","130427","磁县"
"99","130428","肥乡县"
"100","130429","永年县"
"101","130430","邱县"
"102","130431","鸡泽县"
"103","130432","广平县"
"104","130433","馆陶县"
"105","130434","魏县"
"106","130435","曲周县"
"107","130481","武安市"
"108","130500","邢台市"
"109","130502","桥东区"
"110","130503","桥西区"
"111","130521","邢台县"
"112","130522","临城县"
"113","130523","内丘县"
"114","130524","柏乡县"
"115","130525","隆尧县"
"116","130526","任县"
"117","130527","南和县"
"118","130528","宁晋县"
"119","130529","巨鹿县"
"120","130530","新河县"
"121","130531","广宗县"
"122","130532","平乡县"
"123","130533","威县"
"124","130534","清河县"
