"","id","city"
"1","110000","北京市"
"2","110101","东城区"
"3","110102","西城区"
"4","110103","崇文区"
"5","110104","宣武区"
"6","110105","朝阳区"
"7","110106","丰台区"
"8","110107","石景山区"
"9","110108","海淀区"
"10","110109","门头沟区"
"11","110110","燕山区"
"12","110221","昌平县"
"13","110222","顺义县"
"14","110223","通县"
"15","110224","大兴县"
"16","110225","房山县"
"17","110226","平谷县"
"18","110227","怀柔县"
"19","110228","密云县"
"20","110229","延庆县"
"21","120000","天津市"
"22","120101","和平区"
"23","120102","河东区"
"24","120103","河西区"
"25","120104","南开区"
"26","120105","河北区"
"27","120106","红桥区"
"28","120107","塘沽区"
"29","120108","汉沽区"
"30","120109","大港区"
"31","120110","东郊区"
"32","120111","西郊区"
"33","120112","南郊区"
"34","120113","北郊区"
"35","120221","宁河县"
"36","120222","武清县"
"37","120223","静海县"
"38","120224","宝坻县"
"39","120225","蓟县"
"40","130000","河北省"
"41","130100","石家庄市"
"42","130102","长安区"
"43","130103","桥东区"
"44","130104","桥西区"
"45","130105","新华区"
"46","130106","郊区"
"47","130107","井陉矿区"
"48","130121","井陉县"
"49","130122","获鹿县"
"50","130200","唐山市"
"51","130202","路南区"
"52","130203","路北区"
"53","130204","东矿区"
"54","130205","开平区"
"55","130206","新区"
"56","130221","丰润县"
"57","130222","丰南县"
"58","130223","滦县"
"59","130224","滦南县"
"60","130225","乐亭县"
"61","130226","迁安县"
"62","130227","迁西县"
"63","130228","遵化县"
"64","130229","玉田县"
"65","130230","唐海县"
"66","130300","秦皇岛市"
"67","130302","海港区"
"68","130303","山海关区"
"69","130304","北戴河区"
"70","130321","青龙县"
"71","130322","昌黎县"
"72","130323","抚宁县"
"73","130324","卢龙县"
"74","130400","邯郸市"
"75","130402","邯山区"
"76","130403","丛台区"
"77","130404","复兴区"
"78","130405","郊区"
"79","130406","峰峰矿区"
"80","130421","邯郸县"
"81","130500","邢台市"
"82","130502","桥东区"
"83","130503","桥西区"
"84","130504","郊区"
"85","130600","保定市"
"86","130602","新市区"
"87","130603","北市区"
"88","130604","南市区"
"89","130605","郊区"
"90","130621","满城县"
"91","130700","张家口市"
"92","130702","桥东区"
"93","130703","桥西区"
"94","130704","茶坊区"
"95","130705","宣化区"
"96","130706","下花园区"
"97","130707","庞家堡区"
"98","130721","宣化县"
"99","130800","承德市"
"100","130802","双桥区"
"101","130803","双滦区"
"102","130804","鹰手营子矿区"
"103","130821","承德县"
"104","130900","沧州市"
"105","130902","新华区"
"106","130903","运河区"
"107","130904","郊区"
"108","130921","沧县"
"109","132100","邯郸地区"
"110","132121","大名县"
"111","132122","魏县"
"112","132123","曲周县"
"113","132124","丘县"
"114","132125","鸡泽县"
"115","132126","肥乡县"
"116","132127","广平县"
"117","132128","成安县"
"118","132129","临漳县"
"119","132130","磁县"
"120","132131","武安县"
"121","132132","涉县"
"122","132133","永年县"
"123","132135","馆陶县"
"124","132200","邢台地区"
